,RULE,HEAD,BODY
10,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down']",[],['G70_Down']
11,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up']",[],['G1_Up']
12,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up']",[],['G72_Up']
13,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down']",[],['G2_Down']
14,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down']",[],['G28_Down']
15,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down']",[],['G38_Down']
16,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up']",[],['G6_Up']
17,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G6_Up', 'G13_Down', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G6_Up', 'G13_Down']",[],['G13_Down']
18,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G6_Up', 'G13_Down', 'G28_Down', 'G6_Up', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G6_Up', 'G13_Down', 'G28_Down', 'G6_Up']",[],['G6_Up']
19,"['G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G6_Up', 'G13_Down', 'G28_Down', 'G6_Up', 'G6_Up', 'G28_Down', 'G10_Down', 'G1_Up', 'G1_Up', 'G10_Down', 'G38_Down', 'G1_Up', 'G1_Up', 'G38_Down', 'G54_Up', 'G1_Up', 'G1_Up', 'G54_Up', 'G1_Up', 'G59_Up', 'G67_Up', 'G1_Up', 'G1_Up', 'G67_Up', 'G70_Down', 'G1_Up', 'G1_Up', 'G70_Down', 'G72_Up', 'G1_Up', 'G1_Up', 'G72_Up', 'G28_Down', 'G2_Down', 'G2_Down', 'G28_Down', 'G2_Down', 'G38_Down', 'G13_Down', 'G6_Up', 'G6_Up', 'G13_Down', 'G28_Down', 'G6_Up', 'G6_Up', 'G28_Down']",[],['G28_Down']
